disease,biomarker_disease_iris,role,cfde_disease,factor
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,diagnostic,Acute myeloid leukemia,Granulopoiesis and megakaryocyte abnormalities
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,diagnostic,Acute myeloid leukemia,Granulopoiesis regulation in leukemia
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,diagnostic,Acute myeloid leukemia,Granulopoiesis signaling in disease
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,diagnostic,Acute myeloid leukemia,Granulopoiesis transcriptional regulation
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,diagnostic,Acute myeloid leukemia,Hematologic neoplasia and anisocytosis
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,diagnostic,Acute myeloid leukemia,Hematopoietic tumor incidence and regulation
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,diagnostic,Acute myeloid leukemia,Increased HSC number and leukemia
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,diagnostic,Acute myeloid leukemia,Increased leukemia and stem cells
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,diagnostic,Acute myeloid leukemia,Leukocyte and myeloid abnormalities
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,diagnostic,Acute myeloid leukemia,MDS features and stem cells
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,diagnostic,Acute myeloid leukemia,Megakaryocyte abnormalities and MDS
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,diagnostic,Acute myeloid leukemia,Megakaryocyte and leukocyte abnormalities
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,diagnostic,Acute myeloid leukemia,Megakaryocyte and myeloid progenitors
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,diagnostic,Acute myeloid leukemia,Megakaryocyte morphology and tumor incidence
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,diagnostic,Acute myeloid leukemia,Myelodysplastic syndrome features
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,diagnostic,Acute myeloid leukemia,Myeloid differentiation and Wnt signaling
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,diagnostic,Acute myeloid leukemia,Myeloid hyperplasia and KIT signaling
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,diagnostic,Acute myeloid leukemia,Tumor progression and metastasis
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,prognostic,Acute myeloid leukemia,Abnormal erythropoiesis and anemia
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,prognostic,Acute myeloid leukemia,Abnormal hematopoietic cell morphologies
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,prognostic,Acute myeloid leukemia,Abnormal hematopoietic differentiation
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,prognostic,Acute myeloid leukemia,Abnormal hematopoietic progenitors
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,prognostic,Acute myeloid leukemia,Abnormal myelopoiesis and progenitors
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,prognostic,Acute myeloid leukemia,Absent common myeloid progenitors
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,prognostic,Acute myeloid leukemia,Absent myeloid progenitors and hyperplasia
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,prognostic,Acute myeloid leukemia,Bone marrow progenitors and HSCs
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,prognostic,Acute myeloid leukemia,Granulopoiesis and extramedullary hematopoiesis
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,prognostic,Acute myeloid leukemia,Granulopoiesis and megakaryocyte abnormalities
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,prognostic,Acute myeloid leukemia,Granulopoiesis regulation in leukemia
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,prognostic,Acute myeloid leukemia,Granulopoiesis signaling in disease
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,prognostic,Acute myeloid leukemia,Granulopoiesis transcriptional regulation
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,prognostic,Acute myeloid leukemia,Hematologic neoplasia and anisocytosis
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,prognostic,Acute myeloid leukemia,Hematopoietic tumor incidence and regulation
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,prognostic,Acute myeloid leukemia,Increased HSC number and leukemia
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,prognostic,Acute myeloid leukemia,Increased leukemia and stem cells
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,prognostic,Acute myeloid leukemia,Leukocyte and myeloid abnormalities
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,prognostic,Acute myeloid leukemia,MDS features and stem cells
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,prognostic,Acute myeloid leukemia,Megakaryocyte abnormalities and MDS
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,prognostic,Acute myeloid leukemia,Megakaryocyte and leukocyte abnormalities
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,prognostic,Acute myeloid leukemia,Megakaryocyte and myeloid progenitors
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,prognostic,Acute myeloid leukemia,Megakaryocyte morphology and tumor incidence
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,prognostic,Acute myeloid leukemia,Myelodysplastic syndrome features
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,prognostic,Acute myeloid leukemia,Myeloid differentiation and Wnt signaling
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,prognostic,Acute myeloid leukemia,Myeloid hyperplasia and KIT signaling
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,prognostic,Acute myeloid leukemia,Tumor progression and metastasis
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,risk,Acute myeloid leukemia,Abnormal erythropoiesis and anemia
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,risk,Acute myeloid leukemia,Abnormal hematopoietic cell morphologies
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,risk,Acute myeloid leukemia,Abnormal hematopoietic differentiation
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,risk,Acute myeloid leukemia,Abnormal hematopoietic progenitors
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,risk,Acute myeloid leukemia,Abnormal myelopoiesis and progenitors
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,risk,Acute myeloid leukemia,Absent common myeloid progenitors
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,risk,Acute myeloid leukemia,Absent myeloid progenitors and hyperplasia
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,risk,Acute myeloid leukemia,Bone marrow progenitors and HSCs
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,risk,Acute myeloid leukemia,Granulopoiesis and extramedullary hematopoiesis
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,risk,Acute myeloid leukemia,Granulopoiesis and megakaryocyte abnormalities
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,risk,Acute myeloid leukemia,Granulopoiesis regulation in leukemia
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,risk,Acute myeloid leukemia,Granulopoiesis signaling in disease
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,risk,Acute myeloid leukemia,Granulopoiesis transcriptional regulation
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,risk,Acute myeloid leukemia,Hematologic neoplasia and anisocytosis
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,risk,Acute myeloid leukemia,Hematopoietic tumor incidence and regulation
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,risk,Acute myeloid leukemia,Increased HSC number and leukemia
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,risk,Acute myeloid leukemia,Increased leukemia and stem cells
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,risk,Acute myeloid leukemia,Leukocyte and myeloid abnormalities
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,risk,Acute myeloid leukemia,MDS features and stem cells
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,risk,Acute myeloid leukemia,Megakaryocyte abnormalities and MDS
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,risk,Acute myeloid leukemia,Megakaryocyte and leukocyte abnormalities
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,risk,Acute myeloid leukemia,Megakaryocyte and myeloid progenitors
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,risk,Acute myeloid leukemia,Megakaryocyte morphology and tumor incidence
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,risk,Acute myeloid leukemia,Myelodysplastic syndrome features
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,risk,Acute myeloid leukemia,Myeloid differentiation and Wnt signaling
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,risk,Acute myeloid leukemia,Myeloid hyperplasia and KIT signaling
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,risk,Acute myeloid leukemia,Tumor progression and metastasis
acute promyelocytic leukemia,http://purl.obolibrary.org/obo/MONDO_0012883,diagnostic,Acute promyelocytic leukemia,Cytokine Signaling
acute promyelocytic leukemia,http://purl.obolibrary.org/obo/MONDO_0012883,diagnostic,Acute promyelocytic leukemia,WNT Signaling
acute promyelocytic leukemia,http://purl.obolibrary.org/obo/MONDO_0012883,prognostic,Acute promyelocytic leukemia,Cytokine Signaling
acute promyelocytic leukemia,http://purl.obolibrary.org/obo/MONDO_0012883,prognostic,Acute promyelocytic leukemia,WNT Signaling
acute promyelocytic leukemia,http://purl.obolibrary.org/obo/MONDO_0012883,risk,Acute promyelocytic leukemia,Cytokine Signaling
acute promyelocytic leukemia,http://purl.obolibrary.org/obo/MONDO_0012883,risk,Acute promyelocytic leukemia,WNT Signaling
adrenal cortex carcinoma,http://purl.obolibrary.org/obo/MONDO_0006639,prognostic,Adrenocortical carcinoma,Mixed cancers and tumor suppressors
adrenal cortex carcinoma,http://purl.obolibrary.org/obo/MONDO_0006639,prognostic,Adrenocortical carcinoma,Prostate bladder cancers with mutations
adrenal cortex carcinoma,http://purl.obolibrary.org/obo/MONDO_0006639,prognostic,Adrenocortical carcinoma,Prostate cancer with metastasis
adrenal cortex carcinoma,http://purl.obolibrary.org/obo/MONDO_0006639,risk,Adrenocortical carcinoma,Mixed cancers and tumor suppressors
adrenal cortex carcinoma,http://purl.obolibrary.org/obo/MONDO_0006639,risk,Adrenocortical carcinoma,Prostate bladder cancers with mutations
adrenal cortex carcinoma,http://purl.obolibrary.org/obo/MONDO_0006639,risk,Adrenocortical carcinoma,Prostate cancer with metastasis
adult hepatocellular carcinoma,http://purl.obolibrary.org/obo/MONDO_0016216,diagnostic,Adult hepatocellular carcinoma,Cancer Pathways and Genes Set1
adult hepatocellular carcinoma,http://purl.obolibrary.org/obo/MONDO_0016216,diagnostic,Adult hepatocellular carcinoma,Cancer Pathways and Mutations Set2
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,diagnostic,allergic disease,Absent lymphoid tissues
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,diagnostic,allergic disease,Allograft rejection and cytokines
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,diagnostic,allergic disease,Allograft rejection HLA alleles
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,diagnostic,allergic disease,CD40 NFkB signaling
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,diagnostic,allergic disease,Fetal lymphoid cells and thymus
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,diagnostic,allergic disease,Helper T cell differentiation
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,diagnostic,allergic disease,IL2 JAK STAT receptors
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,diagnostic,allergic disease,IL2 JAK STAT signaling
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,diagnostic,allergic disease,IL4 and IL12 signaling
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,diagnostic,allergic disease,Increased autoantibodies and plasma cells
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,diagnostic,allergic disease,Intestinal coexpression regulators
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,diagnostic,allergic disease,Peyer patch immune interactions
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,diagnostic,allergic disease,Peyer patches and lymph nodes
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,diagnostic,allergic disease,T cell activation and regulation
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,diagnostic,allergic disease,T cell differentiation defects
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,diagnostic,allergic disease,T cell differentiation pathways
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,diagnostic,allergic disease,T cell differentiation regulators
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,diagnostic,allergic disease,T cell dysfunction and activation
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,diagnostic,allergic disease,T cell proliferation signaling
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,diagnostic,allergic disease,T cells and autoimmunity markers
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,diagnostic,allergic disease,TCR signaling and thymocyte activation
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,diagnostic,allergic disease,Th17 differentiation pathways
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,diagnostic,allergic disease,Th2 cytokine signaling
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,diagnostic,allergic disease,TNF NFkB signaling
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,diagnostic,allergic disease,Type 1 diabetes susceptibility
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,risk,allergic disease,Absent lymphoid tissues
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,risk,allergic disease,Allograft rejection and cytokines
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,risk,allergic disease,Allograft rejection HLA alleles
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,risk,allergic disease,CD40 NFkB signaling
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,risk,allergic disease,Fetal lymphoid cells and thymus
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,risk,allergic disease,Helper T cell differentiation
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,risk,allergic disease,IL2 JAK STAT receptors
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,risk,allergic disease,IL2 JAK STAT signaling
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,risk,allergic disease,IL4 and IL12 signaling
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,risk,allergic disease,Increased autoantibodies and plasma cells
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,risk,allergic disease,Intestinal coexpression regulators
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,risk,allergic disease,Peyer patch immune interactions
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,risk,allergic disease,Peyer patches and lymph nodes
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,risk,allergic disease,T cell activation and regulation
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,risk,allergic disease,T cell differentiation defects
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,risk,allergic disease,T cell differentiation pathways
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,risk,allergic disease,T cell differentiation regulators
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,risk,allergic disease,T cell dysfunction and activation
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,risk,allergic disease,T cell proliferation signaling
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,risk,allergic disease,T cells and autoimmunity markers
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,risk,allergic disease,TCR signaling and thymocyte activation
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,risk,allergic disease,Th17 differentiation pathways
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,risk,allergic disease,Th2 cytokine signaling
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,risk,allergic disease,TNF NFkB signaling
allergic disease,http://purl.obolibrary.org/obo/MONDO_0005271,risk,allergic disease,Type 1 diabetes susceptibility
amyloidosis,http://purl.obolibrary.org/obo/MONDO_0019065,diagnostic,Amyloidosis,Amyloid Fiber Formation Astrocyte Markers
amyloidosis,http://purl.obolibrary.org/obo/MONDO_0019065,diagnostic,Amyloidosis,Amyloid Fibril Formation and Neurodegeneration
amyloidosis,http://purl.obolibrary.org/obo/MONDO_0019065,diagnostic,Amyloidosis,Amyloid Fibril Formation and Trophoblasts
