factor,factor_iri,factor_label,cfde_disease
Abnormal immune system physiology,https://purl.org/okn/frink/kg/digcfdekg/node/factor/7a1b87ff202e12bad972,Abnormal immune system physiology (trait context: systemic lupus erythematosus),systemic lupus erythematosus
Abnormal insulin and glucose levels,https://purl.org/okn/frink/kg/digcfdekg/node/factor/051894f3e626db91ac93,Abnormal insulin and glucose levels (trait context: Type 2 diabetes (T2D) adj BMI),Type 2 diabetes (T2D) adj BMI
Abnormal leukopoiesis and immune morphology,https://purl.org/okn/frink/kg/digcfdekg/node/factor/32d9999e03ba715a79bc,Abnormal leukopoiesis and immune morphology (trait context: Type 1 diabetes (T1D)),Type 1 diabetes (T1D)
Abnormal Lipids and Lipoproteins,https://purl.org/okn/frink/kg/digcfdekg/node/factor/444292eceef8fbccf240,Abnormal Lipids and Lipoproteins (trait context: Disorder of lipid metabolism),Disorder of lipid metabolism
Abnormal muscle morphology and degeneration,https://purl.org/okn/frink/kg/digcfdekg/node/factor/f0d28145b654b79d687d,Abnormal muscle morphology and degeneration (trait context: Muscular dystrophy),Muscular dystrophy
Abnormal muscle morphology and genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/82ae2c92a562a87dd20d,Abnormal muscle morphology and genes (trait context: Muscular dystrophy),Muscular dystrophy
Abnormal myeloid and erythroid progenitors,https://purl.org/okn/frink/kg/digcfdekg/node/factor/c8326b17718d279a3ea0,Abnormal myeloid and erythroid progenitors (trait context: Systemic mastocytosis),Systemic mastocytosis
Abnormal myelopoiesis and erythroid progenitors,https://purl.org/okn/frink/kg/digcfdekg/node/factor/50de608307320d3a69ad,Abnormal myelopoiesis and erythroid progenitors (trait context: Mastocytosis),Mastocytosis
Abnormal myelopoiesis and progenitors,https://purl.org/okn/frink/kg/digcfdekg/node/factor/f329eea1395ab0430a39,Abnormal myelopoiesis and progenitors (trait context: Acute myeloid leukemia),Acute myeloid leukemia
Abnormal myocardial structure and lethality,https://purl.org/okn/frink/kg/digcfdekg/node/factor/2b2381fda476e544dd29,Abnormal myocardial structure and lethality (trait context: Diabetic retinopathy),Diabetic retinopathy
Abnormal Pancreatic Beta Cell Physiology,https://purl.org/okn/frink/kg/digcfdekg/node/factor/1463b546b7e631a19d04,Abnormal Pancreatic Beta Cell Physiology (trait context: Type 2 diabetes with ophthalmic manifestations),Type 2 diabetes with ophthalmic manifestations
Abnormal Peroxisome Morphology,https://purl.org/okn/frink/kg/digcfdekg/node/factor/1b85d9e165e406109d9d,Abnormal Peroxisome Morphology (trait context: Chronic primary adrenal insufficiency),Chronic primary adrenal insufficiency
Abnormal sarcolemma and muscle morphology,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e1ba0540a98965a59407,Abnormal sarcolemma and muscle morphology (trait context: Muscular dystrophy),Muscular dystrophy
Abnormal sarcomere morphology,https://purl.org/okn/frink/kg/digcfdekg/node/factor/846be52a371b637ac36a,Abnormal sarcomere morphology (trait context: Dilated cardiomyopathy; broad definition),Dilated cardiomyopathy; broad definition
Abnormal T Cell Number,https://purl.org/okn/frink/kg/digcfdekg/node/factor/128d718868b40941eb3d,Abnormal T Cell Number (trait context: Non-Hodgkin lymphoma),Non-Hodgkin lymphoma
Abnormal T cell signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/050af81cf404ad311c4a,Abnormal T cell signaling (trait context: Vasculitis),Vasculitis
Abnormal T cell subpopulations,https://purl.org/okn/frink/kg/digcfdekg/node/factor/ac0e8588fbce25684bf7,Abnormal T cell subpopulations (trait context: psoriasis),psoriasis
Abnormal T cells; reduced CD4,https://purl.org/okn/frink/kg/digcfdekg/node/factor/703e3626f67c4de030ee,Abnormal T cells; reduced CD4 (trait context: IgA nephropathy (IgAN)),IgA nephropathy (IgAN)
Abnormal T-cell activation and counts,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e6695861e213aa2d98f3,Abnormal T-cell activation and counts (trait context: type 1 diabetes mellitus),type 1 diabetes mellitus
Abnormal T-cell and immune morphologies,https://purl.org/okn/frink/kg/digcfdekg/node/factor/47c8377f8ded21c04ff6,Abnormal T-cell and immune morphologies (trait context: type 1 diabetes mellitus),type 1 diabetes mellitus
Abnormal Triglyceride Level,https://purl.org/okn/frink/kg/digcfdekg/node/factor/3ffccad2d932310e6eed,Abnormal Triglyceride Level (trait context: Type 2 diabetes with ophthalmic manifestations),Type 2 diabetes with ophthalmic manifestations
Abnormal Z-line morphology,https://purl.org/okn/frink/kg/digcfdekg/node/factor/db39242fe3bf00ec89f6,Abnormal Z-line morphology (trait context: Dilated cardiomyopathy; broad definition),Dilated cardiomyopathy; broad definition
Absent common myeloid progenitors,https://purl.org/okn/frink/kg/digcfdekg/node/factor/29da5aaeb5def155762a,Absent common myeloid progenitors (trait context: Acute myeloid leukemia),Acute myeloid leukemia
"Absent germinal centers, infection risk",https://purl.org/okn/frink/kg/digcfdekg/node/factor/ba578ec6f72dbcc452f7,"Absent germinal centers, infection risk (trait context: autoimmune disease)",autoimmune disease
"Absent germinal centers, parasitic susceptibility",https://purl.org/okn/frink/kg/digcfdekg/node/factor/f6f851bb60c33d902966,"Absent germinal centers, parasitic susceptibility (trait context: Lymphoma)",Lymphoma
Absent Lymph Nodes and Spleen,https://purl.org/okn/frink/kg/digcfdekg/node/factor/5489b0c55c6862614a38,Absent Lymph Nodes and Spleen (trait context: childhood onset asthma),childhood onset asthma
Absent lymph nodes; CD40 signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/8cde74973d00ea57e38b,Absent lymph nodes; CD40 signaling (trait context: multiple sclerosis),multiple sclerosis
Absent Lymphoid Structures and Cytokines,https://purl.org/okn/frink/kg/digcfdekg/node/factor/7b0d9075c3d5213482db,Absent Lymphoid Structures and Cytokines (trait context: Atopic dermatitis),Atopic dermatitis
Absent lymphoid structures and signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/ffe0927ca617c5e57ecb,Absent lymphoid structures and signaling (trait context: atopic eczema),atopic eczema
Absent lymphoid tissues,https://purl.org/okn/frink/kg/digcfdekg/node/factor/ef2fe10a5cbbbd880330,Absent lymphoid tissues (trait context: allergic disease),allergic disease
Absent Mesoderm Absent Mesoderm,https://purl.org/okn/frink/kg/digcfdekg/node/factor/48e2f1fbe6afe7dee591,Absent Mesoderm Absent Mesoderm (trait context: Proliferative diabetic retinopathy (PDR) vs no PDR acct DoD-GC),Proliferative diabetic retinopathy (PDR) vs no PDR acct DoD-GC
Absent myeloid progenitors,https://purl.org/okn/frink/kg/digcfdekg/node/factor/5fc274851d46185d733d,Absent myeloid progenitors (trait context: Acute lymphoblastic leukemia),Acute lymphoblastic leukemia
Absent myeloid progenitors and hyperplasia,https://purl.org/okn/frink/kg/digcfdekg/node/factor/1d035918a826f1fc6d70,Absent myeloid progenitors and hyperplasia (trait context: Acute myeloid leukemia),Acute myeloid leukemia
Absent myeloid progenitors and megakaryocytes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/27e88f118036da9ebf3c,Absent myeloid progenitors and megakaryocytes (trait context: Acute lymphoblastic leukemia),Acute lymphoblastic leukemia
Absent nodes and EBV lymphocytes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/ea1d5dc71f448ce2ccc1,Absent nodes and EBV lymphocytes (trait context: primary biliary cirrhosis),primary biliary cirrhosis
Absent Peyer patches; immune abnormalities,https://purl.org/okn/frink/kg/digcfdekg/node/factor/2b9957149a30340adade,Absent Peyer patches; immune abnormalities (trait context: atopic eczema),atopic eczema
absent spleen germinal center,https://purl.org/okn/frink/kg/digcfdekg/node/factor/42d5eff965fd441786be,absent spleen germinal center (trait context: Multiple sclerosis),Multiple sclerosis
Absent spleen germinal center,https://purl.org/okn/frink/kg/digcfdekg/node/factor/bbf427a757ae24966bfb,Absent spleen germinal center (trait context: multiple sclerosis),multiple sclerosis
Acid Glycosidases,https://purl.org/okn/frink/kg/digcfdekg/node/factor/685ab809df5b34c81ee3,Acid Glycosidases (trait context: Lysosomal disease),Lysosomal disease
Actin movement and contraction,https://purl.org/okn/frink/kg/digcfdekg/node/factor/43df4b31075e373c3378,Actin movement and contraction (trait context: Brugada syndrome),Brugada syndrome
Actin-Myosin Sliding and Degeneration,https://purl.org/okn/frink/kg/digcfdekg/node/factor/7c3ba740a584d64f0d2b,Actin-Myosin Sliding and Degeneration (trait context: Rare cardiomyopathy),Rare cardiomyopathy
Activated T cells and autoimmunity,https://purl.org/okn/frink/kg/digcfdekg/node/factor/43674f99177895afc662,Activated T cells and autoimmunity (trait context: inflammatory bowel disease),inflammatory bowel disease
Activated T cells and IL-6,https://purl.org/okn/frink/kg/digcfdekg/node/factor/07711e53427d91ecc8a3,Activated T cells and IL-6 (trait context: primary biliary cirrhosis),primary biliary cirrhosis
Activated T cells interferon signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/1ab088f9fb5dc6ad2d64,Activated T cells interferon signaling (trait context: systemic lupus erythematosus),systemic lupus erythematosus
Acute leukemia and myeloid hyperplasia,https://purl.org/okn/frink/kg/digcfdekg/node/factor/0a424b4073b6f3f363bf,Acute leukemia and myeloid hyperplasia (trait context: Lymphoma),Lymphoma
Acute leukemia with myeloid hyperplasia,https://purl.org/okn/frink/kg/digcfdekg/node/factor/134db1ca814d26c7f5fd,Acute leukemia with myeloid hyperplasia (trait context: Acute lymphoblastic leukemia),Acute lymphoblastic leukemia
Acute Lymphoblastic Leukemia,https://purl.org/okn/frink/kg/digcfdekg/node/factor/2cb5559265e7bf4abb0d,Acute Lymphoblastic Leukemia (trait context: Non-Hodgkin lymphoma),Non-Hodgkin lymphoma
Adaptive immunity and antiviral defense,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e11634b023b59c0e3d49,Adaptive immunity and antiviral defense (trait context: psoriatic arthritis),psoriatic arthritis
Adaptive immunity and germinal centers,https://purl.org/okn/frink/kg/digcfdekg/node/factor/4bfd4d592cfc5e2ad0bb,Adaptive immunity and germinal centers (trait context: psoriatic arthritis),psoriatic arthritis
ADGRF5 GPCR coexpression genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/fb109cfb358d3b67425a,ADGRF5 GPCR coexpression genes (trait context: Thyroid cancer),Thyroid cancer
Adipocyte Differentiation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/544f47f4c2632984f0d2,Adipocyte Differentiation (trait context: Proliferative diabetic retinopathy (PDR) vs no PDR acct DoD-GC),Proliferative diabetic retinopathy (PDR) vs no PDR acct DoD-GC
Adipocyte Differentiation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e43b029c7d2a5ea7e1b4,Adipocyte Differentiation (trait context: Proliferative diabetic retinopathy vs no DR),Proliferative diabetic retinopathy vs no DR
Adipogenesis and Fat Cell Differentiation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/d192e3997e98f5dcb923,Adipogenesis and Fat Cell Differentiation (trait context: Breast cancer),Breast cancer
Adipogenesis and insulin signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/c06e3c90cd5d273fa11c,Adipogenesis and insulin signaling (trait context: Type 2 diabetes (recessive model)),Type 2 diabetes (recessive model)
Adipogenesis and WNT signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/bb19de33c25e3d02a6f0,Adipogenesis and WNT signaling (trait context: Type 2 diabetes (additive model)),Type 2 diabetes (additive model)
Adipogenesis and WNT signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/567ec1d9f7368dae4130,Adipogenesis and WNT signaling (trait context: Type 2 diabetes (T2D) adj BMI),Type 2 diabetes (T2D) adj BMI
Adipogenesis transcription factors and metabolism,https://purl.org/okn/frink/kg/digcfdekg/node/factor/a90260dfcb8d29fcff0c,Adipogenesis transcription factors and metabolism (trait context: Diabetic retinopathy),Diabetic retinopathy
Adipose and insulin sensitivity,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e1647a81de08dd9a1166,Adipose and insulin sensitivity (trait context: Type 2 diabetes (T2D) adj BMI),Type 2 diabetes (T2D) adj BMI
Adipose and kidney pathology,https://purl.org/okn/frink/kg/digcfdekg/node/factor/54d40a2c6fc6e99c0600,Adipose and kidney pathology (trait context: Type 2 diabetes (recessive model)),Type 2 diabetes (recessive model)
Adipose and lipid metabolism,https://purl.org/okn/frink/kg/digcfdekg/node/factor/610210648aa8c433b7bf,Adipose and lipid metabolism (trait context: Type 2 diabetes with renal manifestations),Type 2 diabetes with renal manifestations
Adipose expansion and lipid metabolism,https://purl.org/okn/frink/kg/digcfdekg/node/factor/76876a7059228cc487a0,Adipose expansion and lipid metabolism (trait context: Type 2 diabetes (with history of pregnancy)),Type 2 diabetes (with history of pregnancy)
Adipose gene expression changes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/206dc33440cdcf7cdcca,Adipose gene expression changes (trait context: Dermatophytosis (dominant model)),Dermatophytosis (dominant model)
Adipose GPCR kinase coexpression,https://purl.org/okn/frink/kg/digcfdekg/node/factor/95948ad6dbfd699b19ac,Adipose GPCR kinase coexpression (trait context: Childhood-onset asthma),Childhood-onset asthma
Adipose morphology and lipid levels,https://purl.org/okn/frink/kg/digcfdekg/node/factor/0957322bbf9d2ec2fabb,Adipose morphology and lipid levels (trait context: Diabetic retinopathy),Diabetic retinopathy
Adipose regulatory alterations,https://purl.org/okn/frink/kg/digcfdekg/node/factor/b0c10656798736eed666,Adipose regulatory alterations (trait context: Type 1 diabetes with ophthalmic manifestations),Type 1 diabetes with ophthalmic manifestations
Adipose tissue morphology and signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/18445d9742e84a2cec92,Adipose tissue morphology and signaling (trait context: type 2 diabetes mellitus),type 2 diabetes mellitus
Adipose-liver lipid and leptin,https://purl.org/okn/frink/kg/digcfdekg/node/factor/7fdb04c017c9aa67e70b,Adipose-liver lipid and leptin (trait context: Type 2 diabetes (T2D)),Type 2 diabetes (T2D)
Adrenal and adipose signaling genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/5eea14c0ec065af60dc9,Adrenal and adipose signaling genes (trait context: Type 2 diabetes with ketoacidosis),Type 2 diabetes with ketoacidosis
Adrenal kinase and collagen coexpressions,https://purl.org/okn/frink/kg/digcfdekg/node/factor/f588f3040694a5dd7e55,Adrenal kinase and collagen coexpressions (trait context: Type 2 diabetes with ketoacidosis),Type 2 diabetes with ketoacidosis
Adrenal-downregulated genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/32819470d2bc5f9d606f,Adrenal-downregulated genes (trait context: Membranous nephropathy),Membranous nephropathy
Adult Adrenal Expression,https://purl.org/okn/frink/kg/digcfdekg/node/factor/ef291deed04a9f9d75e1,Adult Adrenal Expression (trait context: Chronic primary adrenal insufficiency),Chronic primary adrenal insufficiency
Airway Axoneme Program,https://purl.org/okn/frink/kg/digcfdekg/node/factor/7a17d799482659ad2ab3,Airway Axoneme Program (trait context: Situs inversus totalis),Situs inversus totalis
ALL with B-cell differentiation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/3a0fb971373c5c82bd00,ALL with B-cell differentiation (trait context: Acute lymphoblastic leukemia),Acute lymphoblastic leukemia
Allograft and HLA Activation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/cd288169e4528d557c76,Allograft and HLA Activation (trait context: Primary biliary cholangitis),Primary biliary cholangitis
Allograft rejection and antigen binding,https://purl.org/okn/frink/kg/digcfdekg/node/factor/07777ba2c16e34855242,Allograft rejection and antigen binding (trait context: systemic lupus erythematosus),systemic lupus erythematosus
Allograft rejection and autoimmunity,https://purl.org/okn/frink/kg/digcfdekg/node/factor/0a0bff249a9200587451,Allograft rejection and autoimmunity (trait context: inflammatory bowel disease),inflammatory bowel disease
Allograft rejection and CD4 differentiation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/f850da4b926dc62c1630,Allograft rejection and CD4 differentiation (trait context: psoriasis),psoriasis
Allograft rejection and costimulation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/861dc17fe33ba28013c2,Allograft rejection and costimulation (trait context: Primary sclerosing cholangitis),Primary sclerosing cholangitis
Allograft rejection and cytokines,https://purl.org/okn/frink/kg/digcfdekg/node/factor/870e356ce85762603290,Allograft rejection and cytokines (trait context: allergic disease),allergic disease
Allograft rejection and gut inflammation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/ab3b30c2d678831c6667,Allograft rejection and gut inflammation (trait context: Primary sclerosing cholangitis),Primary sclerosing cholangitis
Allograft rejection and GVHD,https://purl.org/okn/frink/kg/digcfdekg/node/factor/5ffd31320616ca40f498,Allograft rejection and GVHD (trait context: Primary biliary cholangitis),Primary biliary cholangitis
Allograft Rejection and HLA,https://purl.org/okn/frink/kg/digcfdekg/node/factor/0638f4a1c6f38e80f5ad,Allograft Rejection and HLA (trait context: Atopic dermatitis),Atopic dermatitis
Allograft rejection and HLA genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/09aebd532cbac95deac0,Allograft rejection and HLA genes (trait context: Childhood-onset asthma),Childhood-onset asthma
Allograft rejection and HLA genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/261a191f697d646b1472,Allograft rejection and HLA genes (trait context: IgA nephropathy (IgAN)),IgA nephropathy (IgAN)
Allograft rejection and HLA genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/9a5369da7d9c1b2e7da2,Allograft rejection and HLA genes (trait context: Inflammatory bowel disease (IBD)),Inflammatory bowel disease (IBD)
Allograft rejection and HLA genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/c3efdf3055b81a58c139,Allograft rejection and HLA genes (trait context: primary biliary cirrhosis),primary biliary cirrhosis
Allograft rejection and HLA molecules,https://purl.org/okn/frink/kg/digcfdekg/node/factor/ef4f58d69632391b87b1,Allograft rejection and HLA molecules (trait context: psoriasis),psoriasis
Allograft rejection and HLA proteins,https://purl.org/okn/frink/kg/digcfdekg/node/factor/1fecf9a2a05caf15ad59,Allograft rejection and HLA proteins (trait context: IGA glomerulonephritis),IGA glomerulonephritis
Allograft rejection and HLA targets,https://purl.org/okn/frink/kg/digcfdekg/node/factor/606f69a99e6d5662520c,Allograft rejection and HLA targets (trait context: IGA glomerulonephritis),IGA glomerulonephritis
Allograft rejection and IL-12 signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/207069042f111d825f0f,Allograft rejection and IL-12 signaling (trait context: systemic lupus erythematosus),systemic lupus erythematosus
Allograft rejection and immune receptors,https://purl.org/okn/frink/kg/digcfdekg/node/factor/0f91f2d90f3de07bdafe,Allograft rejection and immune receptors (trait context: psoriasis),psoriasis
Allograft rejection and immune signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/2a05ef6c1a3fdfd8640b,Allograft rejection and immune signaling (trait context: systemic lupus erythematosus),systemic lupus erythematosus
Allograft Rejection and Immunity Regulation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/950b3e90d54bf8c3dcfb,Allograft Rejection and Immunity Regulation (trait context: childhood onset asthma),childhood onset asthma
Allograft rejection and inflammation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/8fe4eb8089cfe8711277,Allograft rejection and inflammation (trait context: Primary sclerosing cholangitis),Primary sclerosing cholangitis
Allograft rejection and inflammatory signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/379b1bf7fd7ec6c83b7d,Allograft rejection and inflammatory signaling (trait context: Vasculitis),Vasculitis
Allograft rejection and inflammatory signals,https://purl.org/okn/frink/kg/digcfdekg/node/factor/69b38785736ede1a4362,Allograft rejection and inflammatory signals (trait context: Psoriasis),Psoriasis
Allograft rejection and interleukin signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e4ef408cf11a2b75e73c,Allograft rejection and interleukin signaling (trait context: psoriasis),psoriasis
Allograft rejection and Kupffer cells,https://purl.org/okn/frink/kg/digcfdekg/node/factor/723201ca4c3be20b4770,Allograft rejection and Kupffer cells (trait context: Primary sclerosing cholangitis),Primary sclerosing cholangitis
Allograft rejection and MHC genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/36b1e40f311b581e548b,Allograft rejection and MHC genes (trait context: multiple sclerosis),multiple sclerosis
Allograft rejection HLA alleles,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e7ed95f7aaa3a1f2315d,Allograft rejection HLA alleles (trait context: allergic disease),allergic disease
Allograft rejection HLAs,https://purl.org/okn/frink/kg/digcfdekg/node/factor/f6ea3d57d2a504b2928f,Allograft rejection HLAs (trait context: Primary sclerosing cholangitis),Primary sclerosing cholangitis
Allograft rejection pathways,https://purl.org/okn/frink/kg/digcfdekg/node/factor/4a59ae6be92b01f7e1e9,Allograft rejection pathways (trait context: Behet disease),Behet disease
alloimmune and HLA expression,https://purl.org/okn/frink/kg/digcfdekg/node/factor/5b117c3319bf45786d32,alloimmune and HLA expression (trait context: Multiple sclerosis),Multiple sclerosis
Alpha-beta T cell differentiation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/a6b27242ef0a08e84b57,Alpha-beta T cell differentiation (trait context: Childhood-onset asthma),Childhood-onset asthma
ALPK2 kinase coexpression in muscle,https://purl.org/okn/frink/kg/digcfdekg/node/factor/62794cf4ad393db13ba3,ALPK2 kinase coexpression in muscle (trait context: Dilated cardiomyopathy),Dilated cardiomyopathy
Altered B cell fate,https://purl.org/okn/frink/kg/digcfdekg/node/factor/be3aab01b760970be1a7,Altered B cell fate (trait context: inflammatory bowel disease),inflammatory bowel disease
"Altered B cells, gut inflammation",https://purl.org/okn/frink/kg/digcfdekg/node/factor/b3f0dc62eee95bc632ca,"Altered B cells, gut inflammation (trait context: IgA nephropathy (IgAN))",IgA nephropathy (IgAN)
Altered cytokine secretion and proliferation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/c78a8d4cdebe418c9dd5,Altered cytokine secretion and proliferation (trait context: autoimmune disease),autoimmune disease
Alternative Pathway Fetal Androgen Synthesis,https://purl.org/okn/frink/kg/digcfdekg/node/factor/a82fd37f145a60d2a15f,Alternative Pathway Fetal Androgen Synthesis (trait context: Chronic primary adrenal insufficiency),Chronic primary adrenal insufficiency
Alveolar Cell and Macrophage Dysfunction,https://purl.org/okn/frink/kg/digcfdekg/node/factor/7ded5f79a213110661c2,Alveolar Cell and Macrophage Dysfunction (trait context: Interstitial lung disease),Interstitial lung disease
Alveolar Macrophage and Lung Inflammation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/886afff3f09a2ff466a4,Alveolar Macrophage and Lung Inflammation (trait context: Interstitial lung disease),Interstitial lung disease
Alveolar Proteinosis and Inflammation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/59f7f4df9c00dd818fe7,Alveolar Proteinosis and Inflammation (trait context: Interstitial lung disease),Interstitial lung disease
Alveolar Proteinosis and JAK-STAT Signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/5c9a980fbb3da9723ba1,Alveolar Proteinosis and JAK-STAT Signaling (trait context: Interstitial lung disease),Interstitial lung disease
Alveolar Proteinosis and Surfactant Defects,https://purl.org/okn/frink/kg/digcfdekg/node/factor/2054481de26dc95273ea,Alveolar Proteinosis and Surfactant Defects (trait context: Interstitial lung disease),Interstitial lung disease
Amino Acid Metabolism and Derivatives,https://purl.org/okn/frink/kg/digcfdekg/node/factor/3d4b451a433bcff8fb7a,Amino Acid Metabolism and Derivatives (trait context: Organic aciduria),Organic aciduria
Amino acid metabolism and development,https://purl.org/okn/frink/kg/digcfdekg/node/factor/2fc09fa575a36dc26346,Amino acid metabolism and development (trait context: Rare aplastic anemia),Rare aplastic anemia
Amino Acid Transport Genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/38dde734b159653ee47e,Amino Acid Transport Genes (trait context: Polycystic ovary syndrome (PCOS)),Polycystic ovary syndrome (PCOS)
Ammonia and Mitochondrial Metabolism,https://purl.org/okn/frink/kg/digcfdekg/node/factor/4dc082a8b648e76b1be5,Ammonia and Mitochondrial Metabolism (trait context: Organic aciduria),Organic aciduria
Amyloid Fiber Formation Astrocyte Markers,https://purl.org/okn/frink/kg/digcfdekg/node/factor/7ad2eeadf196db361747,Amyloid Fiber Formation Astrocyte Markers (trait context: Amyloidosis),Amyloidosis
